source_text,target_text
"complete: countries next to it are Marin, Mendocino, Lake,","Napa, Solano, and Contra Costa."
complete: A writing,around the drum confirms his name.
"complete: They would return to the new series in the 2008 Special ""The Next Doctor"". There were two new variants; Cyber-Shades and the",Cyber-King.
complete: Jameson's autobiography,"was published on August 17, 2004"
complete: It is famous,for the cultivation of kiwi fruit.
complete: After years in,"the tag team division, Hardy took on The Undertaker in a ladder match for the Undisputed Championship."
complete: Word processing templates allow people to bypass,the initial setup and configuration time necessary to create standardized documents such as a resume.
complete: Rollins retired in 1962 and,become a coach.
complete: Landsberg prison is in the west of the town.,It was completed in 1910.
complete: A hunting dog is a dog who helps humans in,hunting.
complete: The Empire of Nicaea captured Constantinople and Latin Empire. By doing so it,re-establishing the Byzantine Empire.
complete: This led scientists to,"re-examine the old photos, and the satellite was found in the pictures."
complete: Marcel Junod was a,physician from Geneva. He was a famous delegate during the Second World War.
complete: Whisenhunt's career as a player included 4 years (1985 -,88) as a tight end with the Atlanta Falcons. Then there were short term stints with the Washington Redskins and New York Jets.
complete: Romania ceded three southern districts of Bessarabia,to Russia and acquired Dobruja.
"complete: In March 2001,",the World Wrestling Federation bought World Championship Wrestling.
complete: The West Coast blues,"is characterized by jazz and jump blues influences, strong piano-dominated sounds and jazzy guitar solos. It originated from Texas blues players who relocated to California in the 1940s."
complete: Following visits reported seeing the flag flying from,places of honor.
complete: Locals grow seasonal crops such as Maize and,Wheat.
complete: Roy was selected as,the greatest goaltender in NHL history in 2004.
complete: Frances was later drawn in,by an extratropical cyclone on November 21.
"complete: Traveling northwestward, the depression moved ashore",near Fort Walton Beach early on September 22. Shortly after it dissipated over southeastern Alabama.
complete: Anthony McGill,is the lead clarinetist for the Metropolitan Opera.
complete: The author and publisher,of the Licence don't allow the use of their names for publicity and for endorsement of any Modified Version.
"complete: The British Rail 91 is a class of 140 mph, 4.54MW / 6,300 hp electric train",ordered as for the East Coast Main Line in late 1980s.
complete: Some say that thousands,of people were killed.
"complete: The ""hornet"" name",is used mainly for this and related species because they make nests in the air like hornets instead of underground.
complete: Sunderland salt was,made in 1589.
"complete: Some trails are nature trails, used be people",learning about nature.
"complete: in 2007, Hager went back to Florida Championship Wrestling, and",had a fight with TJ Wilson.
complete: These rock,formations are composed of sandstone with layers of quartz.
complete: Notably gone from the city are fortifications and,military structures.
complete: Adrastea was found by David C. Jewitt and G. Edward Danielson in Voyager 2 probe photographs taken on July,"8, 1979"
complete: Picasa Web Albums was first,"seen on June 6, 2006."
complete: It is probably a simple,body made of carbonates.
complete: Artemis was born first and then,helped with the birth of Apollo.
complete: The park,is now often used for demonstrations.
complete: Breaking Dawn is the fourth and final book in the Twilight,series by Stephenie Meyer.
complete: The main town is,Abingdon. Other towns include Faringdon and Wantage.
complete: The municipality has,about 5700 people.
"complete: 2001 Census, accessed Nov. 29,",2006 geo.
complete: It was found by a,team of astronomers from the University of Hawaii led by Scott S. Sheppard.
complete: Nocturnes is an orchestral composition in,three parts by the French composer Claude Debussy.
complete: The Alexandrian Life,of Aeschylus shows that the playwright took the first prize at the City Dionysia thirteen times.
"complete: Calvinism gained some popularity in Scandinavia, but was",rejected in favor of Lutheranism after the synod of Uppsala in 1593.
"complete: In order complete the objective surveyors use elements of geometry, engineering, trigonometry, mathematics, physics, and",law.
complete: Vampire Squid must use innovative predator avoidance tactics,in order to conserve energy due to lack of prey.
complete: Camus devoted his,efforts to human rights.
"complete: Iron Maiden, released on April","14, 1980, is the first album by heavy metal band Iron Maiden."
